dhrain,Temp - °F,Wind Speed - mph,High Wind Speed - mph,Rain - in
3/10/2022 0:00,74,0,0,0
3/10/2022 0:05,73,0,0,0
3/10/2022 0:10,73,0,0,0
3/10/2022 0:15,73,0,0,0
3/10/2022 0:20,73,0,0,0
3/10/2022 0:25,73,0,0,0
3/10/2022 0:30,73,0,0,0
3/10/2022 0:35,73,0,0,0
3/10/2022 0:40,73,0,0,0
3/10/2022 0:45,73,0,0,0
3/10/2022 0:50,73,0,0,0
3/10/2022 0:55,73,0,0,0
3/10/2022 1:00,73,0,0,0
3/10/2022 1:05,73,0,0,0
3/10/2022 1:10,73,0,0,0
3/10/2022 1:15,72,0,0,0
3/10/2022 1:20,72,0,0,0
3/10/2022 1:25,72,0,0,0
3/10/2022 1:30,72,0,0,0
3/10/2022 1:35,72,0,0,0
3/10/2022 1:40,72,0,0,0
3/10/2022 1:45,72,0,0,0
3/10/2022 1:50,72,0,0,0
3/10/2022 1:55,72,0,0,0
3/10/2022 2:00,72,0,0,0
3/10/2022 2:05,72,0,0,0
3/10/2022 2:10,72,0,0,0
3/10/2022 2:15,71,0,0,0
3/10/2022 2:20,71,0,0,0
3/10/2022 2:25,71,0,0,0
3/10/2022 2:30,71,0,0,0
3/10/2022 2:35,71,0,0,0
3/10/2022 2:40,71,0,0,0
3/10/2022 2:45,71,0,0,0
3/10/2022 2:50,71,0,0,0
3/10/2022 2:55,71,0,0,0
3/10/2022 3:00,71,0,0,0
3/10/2022 3:05,70,0,0,0
3/10/2022 3:10,70,0,0,0
3/10/2022 3:15,70,0,0,0
3/10/2022 3:20,70,0,0,0
3/10/2022 3:25,70,0,0,0
3/10/2022 3:30,70,0,0,0
3/10/2022 3:35,70,0,0,0
3/10/2022 3:40,70,0,0,0
3/10/2022 3:45,70,0,0,0
3/10/2022 3:50,70,0,0,0
3/10/2022 3:55,70,0,0,0
3/10/2022 4:00,70,0,0,0
3/10/2022 4:05,70,0,0,0
3/10/2022 4:10,70,0,0,0
3/10/2022 4:15,70,0,0,0
3/10/2022 4:20,70,0,0,0
3/10/2022 4:25,70,0,0,0
3/10/2022 4:30,70,0,0,0
3/10/2022 4:35,70,0,0,0
3/10/2022 4:40,70,0,0,0
3/10/2022 4:45,70,0,0,0
3/10/2022 4:50,70,0,0,0
3/10/2022 4:55,70,0,0,0
3/10/2022 5:00,70,0,0,0
3/10/2022 5:05,70,0,0,0
3/10/2022 5:10,70,0,0,0
3/10/2022 5:15,70,0,0,0
3/10/2022 5:20,69,0,0,0
3/10/2022 5:25,69,0,0,0
3/10/2022 5:30,69,0,0,0
3/10/2022 5:35,69,0,0,0
3/10/2022 5:40,69,0,0,0
3/10/2022 5:45,69,0,0,0
3/10/2022 5:50,69,0,0,0
3/10/2022 5:55,69,0,0,0
3/10/2022 6:00,69,0,0,0
3/10/2022 6:05,69,0,0,0
3/10/2022 6:10,69,0,0,0
3/10/2022 6:15,69,0,0,0
3/10/2022 6:20,69,0,0,0
3/10/2022 6:25,69,0,0,0
3/10/2022 6:30,69,0,0,0
3/10/2022 6:35,69,0,0,0
3/10/2022 6:40,69,0,0,0
3/10/2022 6:45,69,0,0,0
3/10/2022 6:50,69,0,0,0
3/10/2022 6:55,69,0,0,0
3/10/2022 7:00,69,0,0,0
3/10/2022 7:05,69,0,0,0
3/10/2022 7:10,69,0,0,0
3/10/2022 7:15,69,0,0,0
3/10/2022 7:20,69,0,0,0
3/10/2022 7:25,69,0,0,0
3/10/2022 7:30,69,0,0,0
3/10/2022 7:35,69,0,0,0
3/10/2022 7:40,69,0,0,0
3/10/2022 7:45,70,0,0,0
3/10/2022 7:50,70,0,0,0
3/10/2022 7:55,70,0,0,0
3/10/2022 8:00,70,0,0,0
3/10/2022 8:05,71,0,0,0
3/10/2022 8:10,71,0,0,0
3/10/2022 8:15,72,0,0,0
3/10/2022 8:20,73,0,0,0
3/10/2022 8:25,73,0,0,0
3/10/2022 8:30,74,0,0,0
3/10/2022 8:35,75,0,0,0
3/10/2022 8:40,76,0,0,0
3/10/2022 8:45,76,0,0,0
3/10/2022 8:50,77,0,0,0
3/10/2022 8:55,77,0,0,0
3/10/2022 9:00,78,0,0,0
3/10/2022 9:05,79,0,0,0
3/10/2022 9:10,80,0,0,0
