"Weather Station 2"
"9/25/23 12:00 AM : 3 Month"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"","Barometer","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled","GroWeather, Cabled"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Date & Time","Barometer - in Hg","Temp - °F","High Temp - °F","Low Temp - °F","Hum - %","Dew Point - °F","Wet Bulb - °F","Wind Speed - mph","Wind Direction","Wind Run - mi","High Wind Speed - mph","High Wind Direction","Wind Chill - °F","Heat Index - °F","THW Index - °F","THSW Index - °F","Rain - in","Rain Rate - in/h","Solar Rad - W/m^2","Solar Energy - Ly","High Solar Rad - W/m^2","ET - in","Heating Degree Days","Cooling Degree Days"
"9/25/23 12:00 AM","30.02","76","76","76","92","74","74","0","","0.0","0","","76","80","80","79","0.00","0.00","0","0.00","0","0.00","0.000","0.118"
"9/25/23 12:15 AM","30.03","76","76","76","93","74","74","0","","0.0","0","","76","79","79","79","0.00","0.00","0","0.00","0","0.00","0.000","0.114"
"9/25/23 12:30 AM","30.03","76","76","76","93","74","74","0","","0.0","0","","76","79","79","78","0.00","0.00","0","0.00","0","0.00","0.000","0.111"
"9/25/23 12:45 AM","30.04","76","76","75","93","73","74","0","","0.0","0","","76","79","79","78","0.00","0.00","0","0.00","0","0.00","0.000","0.109"
"9/25/23 1:00 AM","30.04","75","75","75","94","73","74","0","","0.0","0","","75","78","78","78","0.00","0.00","0","0.00","0","0.00","0.000","0.106"
"9/25/23 1:15 AM","30.04","75","75","75","94","73","74","0","","0.0","0","","75","78","78","77","0.00","0.00","0","0.00","0","0.00","0.000","0.105"
"9/25/23 1:30 AM","30.05","75","75","75","94","73","74","0","","0.0","0","","75","78","78","77","0.00","0.00","0","0.00","0","0.00","0.000","0.104"
"9/25/23 1:45 AM","30.05","75","75","75","95","73","74","0","","0.0","0","","75","78","78","78","0.00","0.00","0","0.00","0","0.00","0.000","0.104"
"9/25/23 2:00 AM","30.04","75","75","75","95","73","74","0","","0.0","0","","75","78","78","78","0.00","0.00","0","0.00","0","0.00","0.000","0.104"
"9/25/23 2:15 AM","30.03","75","75","75","95","73","74","0","","0.0","0","","75","78","78","78","0.00","0.00","0","0.00","0","0.00","0.000","0.104"
"9/25/23 2:30 AM","30.02","75","75","75","95","74","74","0","","0.0","0","","75","78","78","78","0.00","0.00","0","0.00","0","0.00","0.000","0.105"
"9/25/23 2:45 AM","30.01","75","75","75","95","73","74","0","","0.0","0","","75","78","78","78","0.00","0.00","0","0.00","0","0.00","0.000","0.104"
"9/25/23 3:00 AM","30.02","75","75","75","94","73","74","0","","0.0","0","","75","78","78","77","0.00","0.00","0","0.00","0","0.00","0.000","0.104"
"9/25/23 3:15 AM","30.03","75","75","75","96","74","74","0","","0.0","6","NNW","75","78","78","78","0.04","1.78","0","0.00","0","0.00","0.000","0.103"
"9/25/23 3:30 AM","30.03","75","76","75","96","74","75","1","WNW","0.2","8","WNW","75","79","79","78","0.25","4.43","0","0.00","0","0.00","0.000","0.108"
"9/25/23 3:45 AM","30.02","76","76","75","96","74","75","1","N","0.2","2","NE","76","79","79","78","0.00","0.00","0","0.00","0","0.00","0.000","0.109"
"9/25/23 4:00 AM","30.01","75","76","75","96","74","74","0","","0.0","1","NNE","75","79","79","78","0.00","0.00","0","0.00","0","0.00","0.000","0.107"
"9/25/23 4:15 AM","30.00","75","75","75","96","74","74","0","","0.0","2","ESE","75","78","78","77","0.00","0.00","0","0.00","0","0.00","0.000","0.103"
"9/25/23 4:30 AM","30.01","74","75","74","96","73","74","0","","0.0","2","S","74","78","78","77","0.00","0.00","0","0.00","0","0.00","0.000","0.099"
"9/25/23 4:45 AM","30.01","74","74","74","96","73","73","0","","0.0","1","NW","74","77","77","76","0.00","0.00","0","0.00","0","0.00","0.000","0.096"
"9/25/23 5:00 AM","30.01","74","74","74","96","73","73","0","","0.0","3","WSW","74","77","77","76","0.00","0.00","0","0.00","0","0.00","0.000","0.093"
"9/25/23 5:15 AM","30.01","73","74","73","95","72","72","0","","0.0","2","WSW","73","76","76","75","0.00","0.00","0","0.00","0","0.00","0.000","0.088"
"9/25/23 5:30 AM","30.01","73","73","73","95","71","72","0","","0.0","3","SSW","73","75","75","75","0.00","0.00","0","0.00","0","0.00","0.000","0.081"
"9/25/23 5:45 AM","30.01","72","73","72","96","71","72","0","","0.0","0","","72","75","75","75","0.00","0.00","0","0.00","0","0.00","0.000","0.078"
